Anbieter;Anbietertyp;Hersteller;Modell;Speicher GB;Farbe;Zustand;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle;Abgerufen am;Listungs-ID;SKU-ID
Vodafone;netzbetreiber;Google;Pixel 11 Pro;256;Olive;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-256gb-olive;google-pixel-11-pro-256gb-olive
Vodafone;netzbetreiber;Google;Pixel 11 Pro;256;schwarz;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-256gb-schwarz;google-pixel-11-pro-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11 Pro;512;Canyon;neu;1329,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-512gb-canyon;google-pixel-11-pro-512gb-canyon
Vodafone;netzbetreiber;Google;Pixel 11 Pro;512;Fog;neu;1329,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-512gb-fog;google-pixel-11-pro-512gb-fog
Vodafone;netzbetreiber;Google;Pixel 11 Pro;512;Olive;neu;1329,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-512gb-olive;google-pixel-11-pro-512gb-olive
Vodafone;netzbetreiber;Google;Pixel 11 Pro;512;schwarz;neu;1329,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-512gb-schwarz;google-pixel-11-pro-512gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11 Pro Fold;256;schwarz;neu;1999,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-fold.html;2026-08-29;vodafone--google-pixel-11-pro-fold-256gb-schwarz;google-pixel-11-pro-fold-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;256;Canyon;neu;1399,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-256gb-canyon;google-pixel-11-pro-xl-256gb-canyon
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;256;Fog;neu;1399,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-256gb-fog;google-pixel-11-pro-xl-256gb-fog
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;256;Olive;neu;1399,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-256gb-olive;google-pixel-11-pro-xl-256gb-olive
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;256;schwarz;neu;1399,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-256gb-schwarz;google-pixel-11-pro-xl-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;512;Canyon;neu;1529,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-512gb-canyon;google-pixel-11-pro-xl-512gb-canyon
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;512;Fog;neu;1529,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-512gb-fog;google-pixel-11-pro-xl-512gb-fog
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;512;Olive;neu;1529,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-512gb-olive;google-pixel-11-pro-xl-512gb-olive
Vodafone;netzbetreiber;Google;Pixel 11 Pro XL;512;schwarz;neu;1529,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro-xl.html;2026-08-29;vodafone--google-pixel-11-pro-xl-512gb-schwarz;google-pixel-11-pro-xl-512gb-schwarz
Vodafone;netzbetreiber;Samsung;Galaxy A17;128;blau;neu;219,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/samsung-galaxy-a17-5g.html;2026-08-29;vodafone--samsung-galaxy-a17-128gb-blau;samsung-galaxy-a17-128gb-blau
Vodafone;netzbetreiber;Samsung;Galaxy A17;128;schwarz;neu;219,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/samsung-galaxy-a17-5g.html;2026-08-29;vodafone--samsung-galaxy-a17-128gb-schwarz;samsung-galaxy-a17-128gb-schwarz
Vodafone;netzbetreiber;Samsung;Galaxy A37;128;Awesome Charcoal;neu;399,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/samsung-galaxy-a37-5g.html;2026-08-29;vodafone--samsung-galaxy-a37-128gb-awesome-charcoal;samsung-galaxy-a37-128gb-awesome-charcoal
Vodafone;netzbetreiber;Samsung;Galaxy A57;256;Awesome Gray;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/samsung-galaxy-a57-5g.html;2026-08-29;vodafone--samsung-galaxy-a57-256gb-awesome-gray;samsung-galaxy-a57-256gb-awesome-gray
Vodafone;netzbetreiber;Samsung;Galaxy A57;256;Awesome Navy;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/samsung-galaxy-a57-5g.html;2026-08-29;vodafone--samsung-galaxy-a57-256gb-awesome-navy;samsung-galaxy-a57-256gb-awesome-navy
