Art;Modell;Speicher GB;Anbieter;Anbietertyp;Tarif;Band;Zustand;Zuzahlung EUR;Tarif/Monat EUR;Geräterate EUR;Bündel/Monat EUR;Laufzeit Monate;Anschlusspreis EUR;Leitzahl-Zeitraum Monate;Kosten über 24 Monate EUR;Kosten über die Bündellaufzeit EUR;Abgerufen am;Quelle;SKU-ID
Bündel;iPhone 17;256;Telekom;netzbetreiber;MagentaMobil L;Groß;neu;1,00;59,95;20,50;;36;39,95;24;2217,75;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17/lavendel-256-gb?tariffId=MF_17797&categoryId=smartphones;apple-iphone-17-256gb-violett
Bündel;iPhone 17;256;Telekom;netzbetreiber;MagentaMobil M;Mittel;neu;1,00;49,95;23,20;;36;39,95;24;2074,95;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17/lavendel-256-gb?tariffId=MF_17791&categoryId=smartphones;apple-iphone-17-256gb-violett
Bündel;iPhone 17;256;Telekom;netzbetreiber;MagentaMobil S;Mittel;neu;99,00;39,95;23,30;;36;39,95;24;1936,55;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17/lavendel-256-gb?tariffId=MF_17785&categoryId=smartphones;apple-iphone-17-256gb-violett
Bündel;iPhone 17;256;Telekom;netzbetreiber;MagentaMobil XL;;neu;1,00;84,95;17,70;;36;39,95;24;2716,95;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17/lavendel-256-gb?tariffId=MF_17803&categoryId=smartphones;apple-iphone-17-256gb-violett
Bündel;iPhone 17;256;Telekom;netzbetreiber;MagentaMobil XS;Klein;neu;99,00;29,95;23,30;;36;39,95;24;1696,55;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17/lavendel-256-gb?tariffId=MF_17779&categoryId=smartphones;apple-iphone-17-256gb-violett
Bündel;iPhone 17 Pro;256;Telekom;netzbetreiber;MagentaMobil L;Groß;neu;99,00;59,95;24,10;;36;39,95;24;2445,35;;2026-09-15;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro/tiefblau-256-gb?tariffId=MF_17797&categoryId=smartphones&forwardTradeInApplied=false;apple-iphone-17-pro-256gb-tiefblau
Bündel;iPhone 17 Pro;256;Telekom;netzbetreiber;MagentaMobil M;Mittel;neu;99,00;49,95;26,90;;36;39,95;24;2306,15;;2026-09-15;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro/tiefblau-256-gb?tariffId=MF_17791&categoryId=smartphones&forwardTradeInApplied=false;apple-iphone-17-pro-256gb-tiefblau
Bündel;iPhone 17 Pro;256;Telekom;netzbetreiber;MagentaMobil S;Mittel;neu;99,00;39,95;29,70;;36;39,95;24;2166,95;;2026-09-15;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro/tiefblau-256-gb?tariffId=MF_17785&categoryId=smartphones&forwardTradeInApplied=false;apple-iphone-17-pro-256gb-tiefblau
Bündel;iPhone 17 Pro;256;Telekom;netzbetreiber;MagentaMobil XL;;neu;1,00;84,95;24,10;;36;39,95;24;2947,35;;2026-09-15;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro/tiefblau-256-gb?tariffId=MF_17803&categoryId=smartphones&forwardTradeInApplied=false;apple-iphone-17-pro-256gb-tiefblau
Bündel;iPhone 17 Pro;256;Telekom;netzbetreiber;MagentaMobil XS;Klein;neu;99,00;29,95;29,70;;36;39,95;24;1926,95;;2026-09-15;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro/tiefblau-256-gb?tariffId=MF_17779&categoryId=smartphones&forwardTradeInApplied=false;apple-iphone-17-pro-256gb-tiefblau
Bündel;Pixel 11;256;Telekom;netzbetreiber;MagentaMobil L;Groß;neu;1,00;59,95;18,00;;36;39,95;24;2127,75;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11/frost-256-gb?tariffId=MF_17797&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-256gb-frost
Bündel;Pixel 11;256;Telekom;netzbetreiber;MagentaMobil M;Mittel;neu;1,00;49,95;21,60;;36;39,95;24;2017,35;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11/frost-256-gb?tariffId=MF_17791&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-256gb-frost
Bündel;Pixel 11;256;Telekom;netzbetreiber;MagentaMobil S;Mittel;neu;1,00;39,95;24,30;;36;39,95;24;1874,55;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11/frost-256-gb?tariffId=MF_17785&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-256gb-frost
Bündel;Pixel 11;256;Telekom;netzbetreiber;MagentaMobil XL;;neu;1,00;84,95;16,00;;36;39,95;24;2655,75;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11/frost-256-gb?tariffId=MF_17803&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-256gb-frost
Bündel;Pixel 11;256;Telekom;netzbetreiber;MagentaMobil XS;Klein;neu;1,00;29,95;24,30;;36;39,95;24;1634,55;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11/frost-256-gb?tariffId=MF_17779&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-256gb-frost
Bündel;Pixel 11 Pro;256;Telekom;netzbetreiber;MagentaMobil L;Groß;neu;1,00;59,95;24,50;;36;39,95;24;2361,75;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro/olive-256-gb?tariffId=MF_17797&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-256gb-olive
Bündel;Pixel 11 Pro;256;Telekom;netzbetreiber;MagentaMobil M;Mittel;neu;99,00;49,95;25,50;;36;39,95;24;2255,75;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro/olive-256-gb?tariffId=MF_17791&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-256gb-olive
Bündel;Pixel 11 Pro;256;Telekom;netzbetreiber;MagentaMobil S;Mittel;neu;99,00;39,95;28,30;;36;39,95;24;2116,55;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro/olive-256-gb?tariffId=MF_17785&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-256gb-olive
Bündel;Pixel 11 Pro;256;Telekom;netzbetreiber;MagentaMobil XL;;neu;1,00;84,95;22,70;;36;39,95;24;2896,95;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro/olive-256-gb?tariffId=MF_17803&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-256gb-olive
Bündel;Pixel 11 Pro;256;Telekom;netzbetreiber;MagentaMobil XS;Klein;neu;99,00;29,95;28,30;;36;39,95;24;1876,55;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro/olive-256-gb?tariffId=MF_17779&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-256gb-olive
Bündel;Pixel 11 Pro XL;256;Telekom;netzbetreiber;MagentaMobil L;Groß;neu;99,00;59,95;25,50;;36;39,95;24;2495,75;;2026-09-15;https://www.telekom.de/shop/geraet/google/google-pixel-11-pro-xl/obsidian-256-gb?tariffId=MF_17797&categoryId=smartphones&forwardTradeInApplied=false;google-pixel-11-pro-xl-256gb-schwarz
